受理局,Authority,申请年份,专利数量
世界知识产权组织,WIPO,2013,50
世界知识产权组织,WIPO,2014,32
世界知识产权组织,WIPO,2015,46
世界知识产权组织,WIPO,2016,42
世界知识产权组织,WIPO,2017,60
世界知识产权组织,WIPO,2018,71
世界知识产权组织,WIPO,2019,109
世界知识产权组织,WIPO,2020,100
世界知识产权组织,WIPO,2021,81
世界知识产权组织,WIPO,2022,138
中国,China,2013,231
中国,China,2014,267
中国,China,2015,694
中国,China,2016,817
中国,China,2017,989
中国,China,2018,1011
中国,China,2019,759
中国,China,2020,710
中国,China,2021,737
中国,China,2022,741
中国台湾,China,2014,5
中国台湾,China,2015,1
中国台湾,China,2016,1
中国台湾,China,2017,2
中国台湾,China,2018,3
中国台湾,China,2019,2
中国台湾,China,2020,3
中国台湾,China,2021,6
中国台湾,China,2022,1
中国香港,China,2013,2
中国香港,China,2015,1
中国香港,China,2017,5
中国香港,China,2018,1
中国香港,China,2020,2
中国香港,China,2021,2
中国香港,China,2022,4
丹麦,Denmark,2014,1
丹麦,Denmark,2015,1
丹麦,Denmark,2017,1
丹麦,Denmark,2018,1
丹麦,Denmark,2022,1
乌克兰,Ukraine,2013,7
乌克兰,Ukraine,2014,5
乌克兰,Ukraine,2015,1
乌克兰,Ukraine,2016,8
乌克兰,Ukraine,2017,13
乌克兰,Ukraine,2018,9
乌克兰,Ukraine,2019,5
乌克兰,Ukraine,2020,6
乌克兰,Ukraine,2022,1
亚美尼亚,Armania,2018,1
亚美尼亚,Armania,2019,2
以色列,Israel,2013,4
以色列,Israel,2015,4
以色列,Israel,2017,4
以色列,Israel,2018,11
以色列,Israel,2019,2
以色列,Israel,2020,23
以色列,Israel,2021,6
以色列,Israel,2022,2
伊拉克,Iraq,2017,1
伊拉克,Iraq,2018,1
俄罗斯,Russia,2013,73
俄罗斯,Russia,2014,76
俄罗斯,Russia,2015,104
俄罗斯,Russia,2016,86
俄罗斯,Russia,2017,136
俄罗斯,Russia,2018,113
俄罗斯,Russia,2019,136
俄罗斯,Russia,2020,99
俄罗斯,Russia,2021,71
俄罗斯,Russia,2022,64
保加利亚,Bulgaria,2014,2
保加利亚,Bulgaria,2015,2
保加利亚,Bulgaria,2017,2
保加利亚,Bulgaria,2018,1
保加利亚,Bulgaria,2019,4
保加利亚,Bulgaria,2020,3
保加利亚,Bulgaria,2021,1
保加利亚,Bulgaria,2022,1
克罗地亚,Croatia,2014,1
克罗地亚,Croatia,2022,1
加拿大,Canada,2013,44
加拿大,Canada,2014,18
加拿大,Canada,2015,29
加拿大,Canada,2016,21
加拿大,Canada,2017,35
加拿大,Canada,2018,69
加拿大,Canada,2019,52
加拿大,Canada,2020,29
加拿大,Canada,2021,28
加拿大,Canada,2022,24
匈牙利,Hungary,2015,1
南非,South Africa,2014,1
南非,South Africa,2016,2
南非,South Africa,2019,1
南非,South Africa,2020,4
南非,South Africa,2021,2
南非,South Africa,2022,8
卢森堡,Luxembourg,2017,1
卢森堡,Luxembourg,2021,1
印度,India,2013,11
印度,India,2014,10
印度,India,2015,6
印度,India,2016,14
印度,India,2017,15
印度,India,2018,11
印度,India,2019,14
印度,India,2020,27
印度,India,2021,13
印度,India,2022,13
印度尼西亚,Indonesia,2014,2
印度尼西亚,Indonesia,2015,2
印度尼西亚,Indonesia,2019,1
印度尼西亚,Indonesia,2020,3
印度尼西亚,Indonesia,2021,9
哈萨克斯坦,Kazakhstan,2013,1
哈萨克斯坦,Kazakhstan,2015,1
哈萨克斯坦,Kazakhstan,2016,1
哈萨克斯坦,Kazakhstan,2017,1
哈萨克斯坦,Kazakhstan,2018,2
哈萨克斯坦,Kazakhstan,2020,2
哈萨克斯坦,Kazakhstan,2021,5
哈萨克斯坦,Kazakhstan,2022,4
土耳其,Turkey,2013,2
土耳其,Turkey,2014,7
土耳其,Turkey,2015,2
土耳其,Turkey,2016,3
土耳其,Turkey,2017,1
土耳其,Turkey,2018,1
土耳其,Turkey,2019,2
土耳其,Turkey,2020,3
土耳其,Turkey,2021,13
土耳其,Turkey,2022,2
塞尔维亚共和国,Serbia,2019,1
墨西哥,Mexico,2013,1
墨西哥,Mexico,2014,1
墨西哥,Mexico,2018,2
墨西哥,Mexico,2019,2
墨西哥,Mexico,2020,5
墨西哥,Mexico,2021,2
墨西哥,Mexico,2022,3
奥地利,Austria,2013,40
奥地利,Austria,2014,34
奥地利,Austria,2015,36
奥地利,Austria,2016,37
奥地利,Austria,2017,39
奥地利,Austria,2018,42
奥地利,Austria,2019,54
奥地利,Austria,2020,20
奥地利,Austria,2021,11
巴基斯坦,Pakistan,2021,1
巴西,Brazil,2013,29
巴西,Brazil,2014,10
巴西,Brazil,2015,6
巴西,Brazil,2016,17
巴西,Brazil,2017,16
巴西,Brazil,2018,25
巴西,Brazil,2019,13
巴西,Brazil,2020,15
巴西,Brazil,2021,11
巴西,Brazil,2022,14
希腊,Greece,2017,1
希腊,Greece,2021,1
德国,German,2013,28
德国,German,2014,27
德国,German,2015,39
德国,German,2016,44
德国,German,2017,43
德国,German,2018,73
德国,German,2019,48
德国,German,2020,42
德国,German,2021,25
德国,German,2022,20
意大利,Italia,2013,1
意大利,Italia,2014,4
意大利,Italia,2016,9
意大利,Italia,2017,6
意大利,Italia,2018,8
意大利,Italia,2019,10
意大利,Italia,2020,10
意大利,Italia,2021,16
意大利,Italia,2022,2
捷克,Czech,2017,2
摩尔多瓦,Moldova,2015,1
摩尔多瓦,Moldova,2016,2
摩尔多瓦,Moldova,2018,2
摩洛哥,Morocco,2017,2
摩洛哥,Morocco,2018,2
摩洛哥,Morocco,2019,3
斯洛伐克,Slovakia,2014,2
斯洛伐克,Slovakia,2016,2
斯洛伐克,Slovakia,2018,1
斯洛伐克,Slovakia,2020,1
斯洛伐克,Slovakia,2021,1
斯洛文尼亚,Slovenia,2013,3
斯洛文尼亚,Slovenia,2017,1
斯洛文尼亚,Slovenia,2018,1
斯洛文尼亚,Slovenia,2020,1
斯洛文尼亚,Slovenia,2021,2
斯洛文尼亚,Slovenia,2022,2
新加坡,Singapore,2014,7
新加坡,Singapore,2017,1
新加坡,Singapore,2018,10
新加坡,Singapore,2019,4
新加坡,Singapore,2020,4
新加坡,Singapore,2021,2
新加坡,Singapore,2022,3
新西兰,New Zealand,2013,2
新西兰,New Zealand,2018,12
新西兰,New Zealand,2020,3
新西兰,New Zealand,2021,7
新西兰,New Zealand,2022,1
日本,Japen,2013,37
日本,Japen,2014,21
日本,Japen,2015,52
日本,Japen,2016,52
日本,Japen,2017,37
日本,Japen,2018,92
日本,Japen,2019,89
日本,Japen,2020,103
日本,Japen,2021,72
日本,Japen,2022,51
智利,Chile,2022,2
欧亚专利局,EPO,2014,5
欧亚专利局,EPO,2016,2
欧亚专利局,EPO,2017,4
欧亚专利局,EPO,2018,3
欧亚专利局,EPO,2019,5
欧亚专利局,EPO,2020,3
欧亚专利局,EPO,2021,4
欧洲专利局,EPO,2013,117
欧洲专利局,EPO,2014,89
欧洲专利局,EPO,2015,103
欧洲专利局,EPO,2016,103
欧洲专利局,EPO,2017,122
欧洲专利局,EPO,2018,174
欧洲专利局,EPO,2019,238
欧洲专利局,EPO,2020,161
欧洲专利局,EPO,2021,164
欧洲专利局,EPO,2022,135
比利时,Belgium,2016,4
比利时,Belgium,2017,2
比利时,Belgium,2018,8
比利时,Belgium,2019,2
比利时,Belgium,2022,2
沙特阿拉伯,Saudi Arabia,2018,1
沙特阿拉伯,Saudi Arabia,2019,1
法国,France,2013,59
法国,France,2014,62
法国,France,2015,45
法国,France,2016,69
法国,France,2017,40
法国,France,2018,90
法国,France,2019,109
法国,France,2020,67
法国,France,2021,87
法国,France,2022,59
波兰,Poland,2013,5
波兰,Poland,2014,3
波兰,Poland,2015,5
波兰,Poland,2016,9
波兰,Poland,2017,4
波兰,Poland,2018,6
波兰,Poland,2019,6
波兰,Poland,2020,1
波兰,Poland,2021,3
波兰,Poland,2022,4
波黑,Bosnia and Herzegovina,2021,1
泰国,Tailand,2015,1
泰国,Tailand,2017,2
泰国,Tailand,2018,1
泰国,Tailand,2020,1
泰国,Tailand,2022,1
澳大利亚,Australia,2013,2
澳大利亚,Australia,2014,3
澳大利亚,Australia,2015,5
澳大利亚,Australia,2016,4
澳大利亚,Australia,2017,8
澳大利亚,Australia,2018,14
澳大利亚,Australia,2019,8
澳大利亚,Australia,2020,14
澳大利亚,Australia,2021,10
澳大利亚,Australia,2022,5
爱尔兰,Ireland,2017,1
瑞典,Sweden,2013,3
瑞典,Sweden,2015,2
瑞士,Switzerland,2013,1
瑞士,Switzerland,2014,1
瑞士,Switzerland,2017,2
瑞士,Switzerland,2018,2
瑞士,Switzerland,2019,1
瑞士,Switzerland,2022,1
白俄罗斯,Belarus,2013,5
白俄罗斯,Belarus,2014,1
白俄罗斯,Belarus,2015,2
白俄罗斯,Belarus,2016,2
白俄罗斯,Belarus,2017,1
突尼斯,Tunisia,2017,1
罗马尼亚,Rumania,2014,2
罗马尼亚,Rumania,2015,2
罗马尼亚,Rumania,2016,3
罗马尼亚,Rumania,2017,3
罗马尼亚,Rumania,2018,8
罗马尼亚,Rumania,2019,9
罗马尼亚,Rumania,2020,2
罗马尼亚,Rumania,2021,4
罗马尼亚,Rumania,2022,2
美国,America,2013,143
美国,America,2014,159
美国,America,2015,145
美国,America,2016,172
美国,America,2017,216
美国,America,2018,263
美国,America,2019,347
美国,America,2020,293
美国,America,2021,446
美国,America,2022,424
芬兰,Finland,2020,2
英国,Britain,2013,19
英国,Britain,2014,30
英国,Britain,2015,36
英国,Britain,2016,31
英国,Britain,2017,23
英国,Britain,2018,31
英国,Britain,2019,60
英国,Britain,2020,51
英国,Britain,2021,59
英国,Britain,2022,44
荷兰,Netherlands,2020,3
菲律宾,Philippines,2018,3
菲律宾,Philippines,2019,1
菲律宾,Philippines,2020,1
葡萄牙,Portugal,2014,1
葡萄牙,Portugal,2021,1
蒙古,Mongolia,2018,1
蒙古,Mongolia,2019,3
蒙古,Mongolia,2021,1
西班牙,Spain,2013,10
西班牙,Spain,2014,8
西班牙,Spain,2015,15
西班牙,Spain,2016,10
西班牙,Spain,2017,14
西班牙,Spain,2018,7
西班牙,Spain,2019,9
西班牙,Spain,2020,15
西班牙,Spain,2022,2
越南,Vietnam,2013,2
越南,Vietnam,2014,1
越南,Vietnam,2018,4
越南,Vietnam,2021,4
越南,Vietnam,2022,1
韩国,Korea,2013,6
韩国,Korea,2014,14
韩国,Korea,2015,35
韩国,Korea,2016,27
韩国,Korea,2017,33
韩国,Korea,2018,21
韩国,Korea,2019,34
韩国,Korea,2020,40
韩国,Korea,2021,45
韩国,Korea,2022,25
马来西亚,Malaysia,2014,2
马来西亚,Malaysia,2018,2
黎巴嫩,Lebanon,2018,1
